champion,role,games,winrate_brut,wilson_lower_bound,pick_rate,ban_rate,presence_score,trend
Karma,BOTTOM,1,0.000000,0.000000,0.000085,0.351457,0.351543,stable (+0.000)
Olaf,BOTTOM,1,0.000000,0.000000,0.000085,0.040225,0.040310,stable (+0.000)
Orianna,BOTTOM,1,0.000000,0.000000,0.000085,0.611386,0.611471,stable (+0.000)
Ornn,BOTTOM,1,0.000000,0.000000,0.000085,0.042782,0.042867,stable (+0.000)
Veigar,BOTTOM,1,0.000000,0.000000,0.000085,0.003068,0.003153,stable (+0.000)
Yone,BOTTOM,1,0.000000,0.000000,0.000085,0.034259,0.034345,stable (+0.000)
Taliyah,JUNGLE,27,0.703704,0.515190,0.002301,0.074996,0.077297,stable (+0.000)
Lee Sin,JUNGLE,534,0.554307,0.511910,0.045509,0.073632,0.119141,stable (+0.000)
Jarvan IV,JUNGLE,1446,0.533195,0.507426,0.123232,0.343617,0.466848,hausse (+0.041)
Nasus,JUNGLE,30,0.666667,0.487797,0.002557,0.006647,0.009204,baisse (-0.036)
Nocturne,JUNGLE,770,0.522078,0.486774,0.065621,0.304926,0.370547,baisse (-0.036)
Vi,JUNGLE,1111,0.515752,0.486361,0.094682,0.222260,0.316942,hausse (+0.040)
Aatrox,JUNGLE,331,0.525680,0.471899,0.028209,0.057269,0.085478,stable (+0.000)
Zaahen,JUNGLE,247,0.530364,0.468135,0.021050,0.047043,0.068093,stable (+0.000)
Skarner,JUNGLE,363,0.515152,0.463849,0.030936,0.037157,0.068093,stable (+0.000)
Xin Zhao,JUNGLE,1578,0.486058,0.461461,0.134481,0.140447,0.274928,hausse (+0.135)
Rek'Sai,JUNGLE,58,0.586207,0.457982,0.004943,0.005966,0.010908,stable (+0.000)
Dr. Mundo,JUNGLE,395,0.506329,0.457201,0.033663,0.083688,0.117351,stable (+0.000)
Trundle,JUNGLE,309,0.511327,0.455795,0.026334,0.032044,0.058377,stable (+0.000)
Pantheon,JUNGLE,1107,0.484192,0.454857,0.094341,0.238111,0.332453,stable (+0.000)
Qiyana,JUNGLE,162,0.530864,0.454192,0.013806,0.038691,0.052497,stable (+0.000)
Naafiri,JUNGLE,474,0.497890,0.453076,0.040395,0.092040,0.132436,stable (+0.003)
Kha'Zix,JUNGLE,57,0.578947,0.449799,0.004858,0.004943,0.009801,stable (+0.000)
Malphite,JUNGLE,102,0.539216,0.442818,0.008693,0.098347,0.107039,stable (+0.000)
Nidalee,JUNGLE,42,0.571429,0.422060,0.003579,0.006136,0.009715,stable (+0.000)
Ambessa,JUNGLE,238,0.478992,0.416363,0.020283,0.250724,0.271007,stable (+0.000)
Poppy,JUNGLE,81,0.518519,0.411355,0.006903,0.101074,0.107977,stable (+0.000)
Wukong,JUNGLE,1151,0.437880,0.409471,0.098091,0.103801,0.201892,baisse (-0.016)
Jayce,JUNGLE,169,0.479290,0.405271,0.014403,0.236237,0.250639,stable (+0.000)
Sejuani,JUNGLE,154,0.480519,0.403048,0.013124,0.008693,0.021817,stable (+0.000)
Jax,JUNGLE,53,0.528302,0.396599,0.004517,0.042611,0.047128,stable (+0.000)
Rengar,JUNGLE,16,0.625000,0.386406,0.001364,0.015510,0.016874,stable (+0.000)
Olaf,JUNGLE,68,0.500000,0.384379,0.005795,0.040225,0.046020,stable (+0.000)
