champion_1,champion_2,games,winrate
Rakan,Viego,7,0.4286
Rakan,Zaahen,7,0.5714
Sejuani,Seraphine,7,0.7143
Senna,Wukong,7,0.7143
Aatrox,Poppy,6,0.3333
Alistar,Sejuani,6,0.6667
Anivia,Lee Sin,6,0.8333
Bard,Jax,6,0.8333
Bard,Maokai,6,0.3333
Bard,Sejuani,6,0.5
Bard,Viego,6,0.1667
Blitzcrank,Dr. Mundo,6,0.8333
Camille,Nocturne,6,0.3333
Elise,Pantheon,6,0.3333
Elise,Xin Zhao,6,0.1667
Jarvan IV,Soraka,6,0.6667
Jayce,Karma,6,0.5
Kha'Zix,Nami,6,0.6667
Lee Sin,Lux,6,0.5
Lee Sin,Thresh,6,0.8333
Malphite,Nautilus,6,0.0
Malphite,Seraphine,6,0.6667
Maokai,Nautilus,6,0.3333
Maokai,Seraphine,6,0.8333
Milio,Olaf,6,0.5
Naafiri,Shen,6,0.3333
Nautilus,Shyvana,6,0.6667
Neeko,Nidalee,6,1.0
Renata Glasc,Sejuani,6,0.5
Wukong,Yuumi,6,0.1667
Aatrox,Braum,5,0.4
Aatrox,Renata Glasc,5,0.2
Alistar,Maokai,5,0.4
Alistar,Poppy,5,1.0
Anivia,Wukong,5,0.2
Bard,Poppy,5,0.6
Blitzcrank,Pantheon,5,0.2
Blitzcrank,Xin Zhao,5,0.6
Braum,Lee Sin,5,0.6
Braum,Maokai,5,1.0
Braum,Qiyana,5,0.6
Braum,Viego,5,0.2
Camille,Xin Zhao,5,0.6
Dr. Mundo,Poppy,5,0.6
Dr. Mundo,Yuumi,5,0.0
Elise,Jarvan IV,5,0.6
Jax,Rell,5,0.2
Jayce,Lulu,5,0.4
Karma,Kha'Zix,5,0.4
Karma,Poppy,5,0.4
Kha'Zix,Lulu,5,0.6
Lee Sin,Renata Glasc,5,0.4
Lulu,Maokai,5,0.4
Lux,Nocturne,5,0.8
Lux,Vi,5,0.8
Maokai,Milio,5,0.4
Maokai,Neeko,5,0.8
Maokai,Renata Glasc,5,0.6
Milio,Nasus,5,0.8
Milio,Rek'Sai,5,0.8
Naafiri,Skarner,5,0.4
Nami,Shen,5,0.6
Nautilus,Taliyah,5,0.4
Neeko,Viego,5,0.6
Nocturne,Thresh,5,0.6
Poppy,Trundle,5,0.4
Poppy,Viego,5,0.2
Pyke,Trundle,5,0.2
Pyke,Viego,5,0.6
Rakan,Zyra,5,0.4
Rek'Sai,Rell,5,0.8
Rell,Zyra,5,0.8
Seraphine,Viego,5,0.4
Shen,Skarner,5,0.6
Soraka,Wukong,5,0.8
Aatrox,Pyke,4,0.5
Alistar,Kha'Zix,4,0.25
Alistar,Sylas,4,0.25
Alistar,Taliyah,4,1.0
Anivia,Naafiri,4,0.5
Anivia,Nocturne,4,0.25
Anivia,Skarner,4,1.0
Anivia,Trundle,4,0.75
Bard,Darius,4,0.75
Bard,Nidalee,4,0.5
Bard,Olaf,4,1.0
Bard,Rek'Sai,4,0.75
Bard,Shen,4,0.25
Blitzcrank,Lee Sin,4,0.5
Braum,Sylas,4,0.25
Braum,Volibear,4,0.5
Camille,Qiyana,4,0.25
Elise,Lee Sin,4,1.0
Hecarim,Rakan,4,0.25
Jarvan IV,Senna,4,0.25
Jax,Karma,4,0.0
Jayce,Poppy,4,0.75
Karma,Rek'Sai,4,0.5
Karma,Volibear,4,0.5
Kindred,Nautilus,4,0.5
Kindred,Seraphine,4,0.25
Lee Sin,Yuumi,4,1.0
Leona,Malphite,4,0.5
Leona,Sejuani,4,0.25
Lulu,Poppy,4,0.25
Lux,Xin Zhao,4,0.75
Maokai,Rakan,4,0.0
Maokai,Rell,4,0.75
Milio,Poppy,4,0.25
Naafiri,Yuumi,4,0.25
Nasus,Nautilus,4,0.5
Neeko,Rengar,4,0.75
Neeko,Sylas,4,0.25
Olaf,Rakan,4,0.75
Pantheon,Shen,4,0.75
Pantheon,Yuumi,4,0.75
Poppy,Qiyana,4,0.5
Qiyana,Seraphine,4,0.5
Rakan,Rek'Sai,4,0.5
Rakan,Rengar,4,0.5
Skarner,Yuumi,4,0.25
Soraka,Xin Zhao,4,0.5
Taric,Vi,4,0.0
Alistar,Ivern,3,0.6667
Alistar,Jax,3,0.3333
Alistar,Kindred,3,0.0
Alistar,Lillia,3,0.6667
Alistar,Zyra,3,0.3333
Ambessa,Anivia,3,0.3333
Ambessa,Milio,3,0.6667
Ambessa,Pyke,3,1.0
Ambessa,Thresh,3,0.6667
Bard,Sylas,3,0.6667
Bard,Zyra,3,1.0
Blitzcrank,Maokai,3,1.0
Blitzcrank,Nocturne,3,0.3333
Blitzcrank,Trundle,3,0.3333
Blitzcrank,Zaahen,3,0.6667
Braum,Lillia,3,0.0
Braum,Malphite,3,0.3333
Braum,Poppy,3,0.3333
Darius,Seraphine,3,0.6667
Diana,Rell,3,0.3333
